"You will be redirected to our secure payment page when you place an order.","You will be redirected to our secure payment page when you place an order."
"Processing, please wait!","Processing, please wait!"
"The order has been canceled.","The order has been canceled."
"The payment has been accepted.","The payment has been accepted."
"Transaction no.:","Transaction no.: "
"Amount:","Amount: "
"Customer was redirected to Swedbank","Customer was redirected to Swedbank"
